rebalance_date,ticker,weight,fund,asset_family,method,asset_class,underlying_ticker,sector,sentiment_z,coverage_ratio,coverage_adjusted_signal,base_weight,tilt_multiplier,weight_change_from_sentiment
2021-01-04,ABBV,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,ABBV,Healthcare,,,,,,
2021-01-04,ABT,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,ABT,Healthcare,,,,,,
2021-01-04,ADBE,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,ADBE,Tech,,,,,,
2021-01-04,AEP,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,AEP,Utilities,,,,,,
2021-01-04,AMD,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,AMD,Tech,,,,,,
2021-01-04,AMGN,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,AMGN,Healthcare,,,,,,
2021-01-04,AMT,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,AMT,RealEstate,,,,,,
2021-01-04,BA,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,BA,Industrials,,,,,,
2021-01-04,CAT,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,CAT,Industrials,,,,,,
2021-01-04,CCI,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,CCI,RealEstate,,,,,,
2021-01-04,CMCSA,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,CMCSA,Comm,,,,,,
2021-01-04,COP,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,COP,Energy,,,,,,
2021-01-04,CVX,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,CVX,Energy,,,,,,
2021-01-04,D,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,D,Utilities,,,,,,
2021-01-04,DD,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,DD,Materials,,,,,,
2021-01-04,DIS,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,DIS,Consumer,,,,,,
2021-01-04,DOW,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,DOW,Materials,,,,,,
2021-01-04,DUK,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,DUK,Utilities,,,,,,
2021-01-04,EA,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,EA,Comm,,,,,,
2021-01-04,GE,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,GE,Industrials,,,,,,
2021-01-04,GILD,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,GILD,Healthcare,,,,,,
2021-01-04,GS,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,GS,Financials,,,,,,
2021-01-04,INTC,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,INTC,Tech,,,,,,
2021-01-04,KO,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,KO,Consumer,,,,,,
2021-01-04,MMM,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,MMM,Industrials,,,,,,
2021-01-04,MRK,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,MRK,Healthcare,,,,,,
2021-01-04,MS,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,MS,Financials,,,,,,
2021-01-04,NEE,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,NEE,Utilities,,,,,,
2021-01-04,NEM,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,NEM,Materials,,,,,,
2021-01-04,NKE,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,NKE,Consumer,,,,,,
2021-01-04,NUE,0.02,NexaVest Equity Equal Weight,Equity,equal_weight,Equity,NUE,Materials,,,,,,
