trading_date,sector,sentiment_score,covered_tickers,total_tickers,headline_count,coverage_ratio,score_100,lagged_sentiment_score,lagged_score_100,sentiment_z,sentiment_z_21d_mean
2020-01-02,Comm,0.08718,4,5,11,0.8,54.359,,,,
2020-01-02,Consumer,-0.07139833333333333,5,5,22,1.0,46.430083333333336,,,,
2020-01-02,Energy,0.19246166666666667,5,5,21,1.0,59.62308333333334,,,,
2020-01-02,Financials,0.10718533333333333,5,5,12,1.0,55.35926666666666,,,,
2020-01-02,Healthcare,0.21549047619047618,5,5,23,1.0,60.77452380952381,,,,
2020-01-02,Industrials,0.08408,5,5,13,1.0,54.20399999999999,,,,
2020-01-02,Materials,0.10974999999999999,3,5,7,0.6,55.4875,,,,
2020-01-02,RealEstate,0.007240000000000002,2,5,3,0.4,50.361999999999995,,,,
2020-01-02,Tech,0.06684430769230769,4,5,25,0.8,53.342215384615386,,,,
2020-01-02,Utilities,0.12738,1,5,1,0.2,56.369,,,,
2020-01-03,Comm,0.05423,2,5,3,0.4,52.7115,0.08718,54.359,,
2020-01-03,Consumer,-0.17423333333333332,4,5,10,0.8,41.288333333333334,-0.07139833333333333,46.430083333333336,,
2020-01-03,Energy,-0.047957000000000014,5,5,28,1.0,47.60215,0.19246166666666667,59.62308333333334,,
2020-01-03,Financials,0.05045500000000001,3,5,8,0.6,52.522749999999995,0.10718533333333333,55.35926666666666,,
2020-01-03,Healthcare,0.083755,2,5,6,0.4,54.18775,0.21549047619047618,60.77452380952381,,
2020-01-03,Industrials,-0.12487999999999999,4,5,7,0.8,43.756,0.08408,54.20399999999999,,
2020-01-03,Materials,-0.028300000000000002,2,5,3,0.4,48.585,0.10974999999999999,55.4875,,
2020-01-03,RealEstate,-0.03842000000000001,3,5,5,0.6,48.079,0.007240000000000002,50.361999999999995,,
2020-01-03,Tech,0.0784682142857143,4,5,17,0.8,53.923410714285716,0.06684430769230769,53.342215384615386,,
2020-01-03,Utilities,0.05634,2,5,4,0.4,52.817,0.12738,56.369,,
2020-01-06,Comm,0.10428583333333333,3,5,16,0.6,55.21429166666667,0.05423,52.7115,,
2020-01-06,Consumer,0.1065693137254902,5,5,44,1.0,55.328465686274505,-0.17423333333333332,41.288333333333334,,
2020-01-06,Energy,0.08543969696969697,5,5,34,1.0,54.27198484848484,-0.047957000000000014,47.60215,,
2020-01-06,Financials,0.185066,5,5,12,1.0,59.253299999999996,0.05045500000000001,52.522749999999995,,
2020-01-06,Healthcare,0.31935,5,5,12,1.0,65.9675,0.083755,54.18775,,
2020-01-06,Industrials,0.044117222222222224,3,5,14,0.6,52.205861111111105,-0.12487999999999999,43.756,,
2020-01-06,Materials,-0.055811999999999994,4,5,9,0.8,47.2094,-0.028300000000000002,48.585,,
