term,valence,source
upgrade,2.4,"Project A informed, manually reviewed"
upgraded,2.4,"Project A informed, manually reviewed"
beat,2.0,"Project A informed, manually reviewed"
beats,2.0,"Project A informed, manually reviewed"
surge,2.2,"Project A informed, manually reviewed"
surges,2.2,"Project A informed, manually reviewed"
recovery,1.8,"Project A informed, manually reviewed"
profit,1.6,"Project A informed, manually reviewed"
gains,1.5,"Project A informed, manually reviewed"
gain,1.5,"Project A informed, manually reviewed"
strong,1.5,"Project A informed, manually reviewed"
downgrade,-2.4,"Project A informed, manually reviewed"
downgraded,-2.4,"Project A informed, manually reviewed"
miss,-2.0,"Project A informed, manually reviewed"
misses,-2.0,"Project A informed, manually reviewed"
crash,-3.0,"Project A informed, manually reviewed"
loss,-1.8,"Project A informed, manually reviewed"
losses,-1.8,"Project A informed, manually reviewed"
weak,-1.6,"Project A informed, manually reviewed"
decline,-1.5,"Project A informed, manually reviewed"
declines,-1.5,"Project A informed, manually reviewed"
earnings_miss,-2.6,"Project A informed, manually reviewed"
profit_warning,-2.8,"Project A informed, manually reviewed"
record_revenue,2.3,"Project A informed, manually reviewed"
record_profit,2.4,"Project A informed, manually reviewed"
