n_observations,total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,downside_deviation,historical_var_95,historical_cvar_95,positive_day_rate,worst_daily_return,maximum_drawdown,periods_per_year,estimation_window,rebalance_step,transaction_cost_bps,average_turnover,first_live_date,last_live_date,fund,asset_family,method,current_holdings_count
753,0.4258132462929387,0.1260529521719982,0.16169249461808494,0.8151633392820956,1.179771045610127,0.11172150252387833,-0.016106228009561865,-0.022387917363557306,0.5351925630810093,-0.040385291475059426,-0.20321862626913523,252,252,21,10.0,0.027777777777777776,2021-01-04,2023-12-29,NexaVest Equity Equal Weight,Equity,equal_weight,
753,0.1977577472276837,0.06225081234358809,0.12573281987904653,0.543185028588763,0.7756189122395888,0.0880537906990192,-0.013035205019006206,-0.017262025038693594,0.5298804780876494,-0.03285896060796798,-0.15392748657696087,252,252,21,10.0,0.1312320523325253,2021-01-04,2023-12-29,NexaVest Equity Minimum Variance,Equity,min_variance,
753,0.28764013956584433,0.08828834533054408,0.16608556162956925,0.5926191517594449,0.8270964819340495,0.1190012130413759,-0.016372740107609328,-0.023701817671558274,0.5537848605577689,-0.04814039038821031,-0.18806584048969777,252,252,21,10.0,0.26247486230741635,2021-01-04,2023-12-29,NexaVest Equity Maximum Sharpe,Equity,max_sharpe,
753,0.32413822465027997,0.09851595983197048,0.14589959111052694,0.7170094709128675,1.0303720782977293,0.1015277789761058,-0.015119461959908499,-0.020387468468183515,0.5351925630810093,-0.037399171319698644,-0.1842765534616273,252,252,21,10.0,0.04812927787081148,2021-01-04,2023-12-29,NexaVest Equity Risk Parity,Equity,risk_parity,
1095,1.413855079690101,0.3414373600995406,0.8042172581118145,0.7719854569521469,1.1022227452426485,0.5632654834713797,-0.0659813293951036,-0.0991605902847815,0.536986301369863,-0.30337348731353303,-0.8159730614257941,365,365,30,10.0,0.02702702702702703,2021-01-01,2023-12-31,NexaVest Crypto Equal Weight,Crypto,equal_weight,
1095,3.2555256898517753,0.6205076001503242,0.7239963929764378,1.0312865400592073,1.4997022662640658,0.4978639773533208,-0.05800941843149877,-0.08839072497760134,0.5442922374429223,-0.24979402078087198,-0.7320397745667666,365,365,30,10.0,0.10262987294010162,2021-01-01,2023-12-31,NexaVest Crypto Minimum Variance,Crypto,min_variance,
1095,0.7833296679053794,0.2126734748284962,0.7764581991153285,0.6375963420611483,0.9185140162234507,0.5389867751336342,-0.06485388723062674,-0.09450397927014154,0.536986301369863,-0.2349163784033762,-0.818524852924284,365,365,30,10.0,0.17824278846971828,2021-01-01,2023-12-31,NexaVest Crypto Maximum Sharpe,Crypto,max_sharpe,
1095,1.61480929244166,0.3776746690745125,0.7829856441286384,0.8050534324065926,1.1489476964725862,0.548628351200047,-0.06407846575349317,-0.09679183651705851,0.5388127853881278,-0.2914171838583061,-0.7996608179608216,365,365,30,10.0,0.038404807967973555,2021-01-01,2023-12-31,NexaVest Crypto Risk Parity,Crypto,risk_parity,
753,0.5160021390557215,0.149405430169133,0.2125248097592379,0.7616757382792567,1.0848850384061721,0.1492093499730074,-0.020526532108346835,-0.030837313941471132,0.5405046480743692,-0.0550249685378031,-0.2874698799026554,252,252,21,10.0,0.027777777777777776,2021-01-04,2023-12-29,NexaVest Combined Equal Weight,Combined,equal_weight,
753,0.20172333571336143,0.06342650435803066,0.12588251125573688,0.551479554512844,0.7873983343772638,0.08816583449236771,-0.013124982485029352,-0.01736302360114153,0.5351925630810093,-0.033573701178228894,-0.15529805379244666,252,252,21,10.0,0.1325745387674551,2021-01-04,2023-12-29,NexaVest Combined Minimum Variance,Combined,min_variance,
753,0.5576307689153306,0.15987299271129474,0.1981837547983551,0.8474722233965241,1.2458027125893028,0.13481687399038633,-0.018130140639296577,-0.027327251214784864,0.5365205843293492,-0.048140752662402954,-0.19022019285192837,252,252,21,10.0,0.2657774646634261,2021-01-04,2023-12-29,NexaVest Combined Maximum Sharpe,Combined,max_sharpe,
753,0.47686697628654606,0.1393889819356917,0.16013773548740437,0.8950956817045148,1.291445100538988,0.1109908547044646,-0.01627769134329013,-0.022615157569395743,0.548472775564409,-0.04245805580314953,-0.1972255471499047,252,252,21,10.0,0.04986040912897352,2021-01-04,2023-12-29,NexaVest Combined Risk Parity,Combined,risk_parity,
753,0.18720631762110052,0.05910992706579066,0.12634865588800429,0.5177142447801343,0.7373708028101006,0.0887104543775776,-0.01294869645694184,-0.017376261694638427,0.5272244355909694,-0.03411536426176999,-0.1658414817171573,252,252,21,10.0,0.15585047720457584,2021-01-04,2023-12-29,NexaVest Equity Minimum Variance + Sentiment,Equity,min_variance_sentiment,24.0
753,0.19101595085176437,0.06024608979000701,0.12647600408231185,0.5258007982200777,0.7488330155734414,0.08880642615796007,-0.013157495226139237,-0.017462518746626667,0.5325365205843293,-0.034845746223676324,-0.16726124450162838,252,252,21,10.0,0.15780730632186876,2021-01-04,2023-12-29,NexaVest Combined Minimum Variance + Sentiment,Combined,min_variance_sentiment,26.0
